Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
117,0.128690834,0,0.446313475,0,0,0.522532647,0.004832388,0,0,0,0.08372103,0,0,0.351103264,0,0.014488666,0,0.018330193,0,0.157743406,0,0.016226003,0.014,0.266671897,0.990749557,1.743981906
118,0.264476731,0,0.488151985,0,0,0.257090439,0.101744665,0,0.047864794,0,0.090836998,0,0,1.122645078,0.000590429,0.17876764,0,0,0.207662292,0.066985186,0,0,0.006,0.335449329,0.958254476,2.826816235
119,0.281519849,0,0.1520265,0.031239084,0,0.380730787,0.031658678,0.043417726,0,0,0.048749604,0,0.054376836,0.559049602,0,0.007056849,0,0,0,1.001920254,0.091789585,0.152035114,0.016,0.233318688,1.020159634,2.835570466
120,0.10197682,0,0.571188084,0,0,0.660790298,0,0,0,0,0.012571828,0.038109075,0.090626125,0.170202116,0,0.291936313,0,0.025476638,0.299391012,0.069424917,0,0,0.002,0.443624102,0.896033493,2.331693226
121,0.101024679,0,0.191728328,0.041382674,0,0.452254405,0.076736314,0,0,0,0.240827934,0,0.06075917,0.371709048,0,0.0956177,0,0.002075877,0,0.237979213,0.012518427,0.025964014,0.016,0.240197361,0.989257223,1.910577784
122,0.068604801,0,0.215950058,0,0.027199849,0.464273138,0.004346842,0,0,0,0.070103218,0,0.082953358,0.295300618,0,0.281437896,0,0.011051487,0,0.123788244,0.08157832,0,0.016,0.250140212,0.981700069,1.72658783
123,0.547411613,0,0.411418495,0,0,0.664768302,0.45503135,0,0.081549155,0,0.469628993,0,0,1.420623166,0.013309176,0.160043102,0,0,0,0.413635864,0.055610152,0,0.014,0.291939735,0.969480776,4.693029368
124,0,0.475189889,0.121157405,0,0,0.729861339,0,0.032261319,0,0,0.025923515,0,0.01265846,0.174838327,0.009944476,0.276129186,0,0,0.0996101,0.177701639,0.021959201,0,0.002,0.395073764,0.919025348,2.157234856
125,0,0.101457397,0.242685009,0,0,0.263919678,0.136471585,0,0,0,0.072166607,0,0.091888476,0.454040976,0,0.211498761,0,0.024339735,0,0.067768255,0.020324562,0,0.11,0.113332613,1.044885779,1.686561041
126,0.167230853,0,0.170624838,0,0,0.483229529,0.077567385,0,0,0,0.087655002,0,0,0.320773582,0,0.161637519,0,0.047595129,0,0.19938946,0.000453886,0,0.02,0.203932232,1.003839463,1.716157183
127,1.389034491,0.614630912,0,0.564543381,0.113921662,1.553767833,0.311103739,0,0,0,0.350608938,0,0,0.301168004,0.024310448,0.393939017,0,0.004883968,0,0.206136828,0.080586168,0,0.002,0.426464966,0.906669363,5.908635388
128,0.065475136,0.193596634,0.450118171,0,0.176507324,0.397143615,0,0,0,0,0,0.096174015,0.057646666,0.515815739,0,0.222515753,0,0,0,0.102336249,0,0,0.002,0.393974947,0.922291548,2.277329302
129,0.313576085,0,0.103098926,0.102895014,0,0.327700944,0.171744912,0.019780887,0.016145992,0,0.273012311,0,0.090421802,0.279552947,0.00228188,0.114454871,0,0,0,0.549061939,0.018252652,0,0.018,0.218291442,1.004798488,2.381981162
130,0.18716448,0.195420153,0.480752516,0,0.003421364,0.836519459,0.020382883,0,0,0,0.185315462,0,0.016441345,0.432314551,0,0.503574247,0,0,0,0.088420359,0.075940394,0,0.002,0.405519826,0.914312534,3.025667211
131,0.075140877,0,0.044898486,0,0.118262134,0,0.003227736,0.130497542,0.006417673,0.053300693,0.026901308,0.003350019,0,0.968868948,0.029311433,0.208612367,0,0,0,0.107551452,0,0,0.006,0.345183391,0.973130962,1.776340668
